,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
470714,470714,470714,470714,HW202208,0420,0420,0,0,1222,12,04B,2013,2013-03-21,11:30:00,March,Thursday,Morning,21,3,group2,21/3,1332,161,32,2
1423703,1423703,1423703,1423703,HZ536363,0497,0497,0,0,1533,15,04B,2016,2016-12-01,19:40:00,December,Thursday,Evening,1,12,group2,1/12,3814,3,57,1
763030,763030,763030,763030,HX191678,1305,1305,0,0,323,3,14,2014,2014-03-19,20:00:00,March,Wednesday,Evening,19,3,group1,19/3,3915,125,150,1
23677,23677,23677,23677,HW297238,1210,1210,0,0,1424,14,11,2012,2012-11-29,15:00:00,November,Thursday,Afternoon,29,11,group5,29/11,2373,254,138,0
214570,214570,214570,214570,HV321749,0810,0810,0,0,1532,15,06,2012,2012-06-06,10:00:00,June,Wednesday,Morning,6,6,group1,6/6,906,326,83,2
952517,952517,952517,952517,HX510168,1320,1320,0,0,1532,15,14,2014,2014-11-17,11:40:00,November,Monday,Morning,17,11,group1,17/11,1391,98,152,0
1141861,1141861,1141861,1141861,HY461489,0460,0460,0,0,715,7,08B,2015,2015-10-14,11:30:00,October,Wednesday,Morning,14,10,group2,14/10,1332,61,39,2
1036322,1036322,1036322,1036322,HY278210,0860,0860,1,0,2013,20,06,2015,2015-05-28,12:15:00,May,Thursday,Afternoon,28,5,group1,28/5,1560,247,91,0
522305,522305,522305,522305,HW284048,0820,0820,0,0,531,5,06,2013,2013-05-21,00:01:00,May,Tuesday,Night,21,5,group1,21/5,2,163,84,2
33147,33147,33147,33147,HY109955,0910,0910,0,1,1731,17,07,2015,2015-01-10,10:30:00,January,Saturday,Morning,10,1,group1,10/1,1017,12,97,2
664394,664394,664394,664394,HW510554,2028,2028,1,0,331,3,18,2013,2013-10-28,14:20:00,October,Monday,Afternoon,28,10,group5,28/10,2170,241,255,0
1294090,1294090,1294090,1294090,HZ315494,0820,0820,0,0,1511,15,06,2016,2016-06-19,07:00:00,June,Sunday,Morning,19,6,group1,19/6,528,128,84,2
1237598,1237598,1237598,1237598,HZ180774,1310,1310,0,0,1412,14,14,2016,2016-03-08,22:00:00,March,Tuesday,Evening,8,3,group1,8/3,4341,347,151,1
